filename,status,duration_sec,snr_db,clipping_pct
cat_1.wav,Quarantined,11.2,32.65999984741211,0.0
cat_10.wav,Approved,9.39,73.22000122070312,0.0
cat_100.wav,Approved,1.29,33.68000030517578,0.01
cat_101.wav,Quarantined,11.5,37.0,0.0
cat_102.wav,Quarantined,11.4,33.63999938964844,0.0
cat_103.wav,Quarantined,12.0,33.09000015258789,0.0
cat_105.wav,Quarantined,11.9,25.34000015258789,0.0
cat_106.wav,Quarantined,12.0,23.600000381469727,0.0
cat_107.wav,Quarantined,12.0,23.31999969482422,0.0
cat_108.wav,Approved,1.91,30.81999969482422,0.01
cat_109.wav,Approved,5.86,61.93000030517578,0.0
cat_11.wav,Quarantined,12.0,29.989999771118164,0.0
cat_110.wav,Approved,1.27,28.540000915527344,0.0
cat_112.wav,Quarantined,17.98,26.739999771118164,0.0
cat_113.wav,Approved,4.96,100.0,0.0
cat_114.wav,Approved,8.27,20.15999984741211,0.0
cat_115.wav,Quarantined,14.59,40.959999084472656,0.0
cat_116.wav,Quarantined,11.9,45.900001525878906,0.0
cat_117.wav,Quarantined,11.1,22.190000534057617,0.0
cat_118.wav,Approved,8.4,23.510000228881836,0.0
cat_119.wav,Approved,4.32,40.91999816894531,0.0
cat_12.wav,Quarantined,11.2,21.280000686645508,0.0
cat_120.wav,Approved,2.01,27.860000610351562,0.01
cat_121.wav,Approved,4.15,35.529998779296875,0.0
cat_122.wav,Approved,5.37,32.709999084472656,0.0
cat_123.wav,Approved,6.31,22.360000610351562,0.0
cat_124.wav,Approved,1.08,36.34000015258789,0.01
cat_125.wav,Approved,7.96,17.3700008392334,0.0
cat_126.wav,Quarantined,12.0,45.75,0.0
cat_127.wav,Quarantined,10.5,35.5,0.0
cat_128.wav,Quarantined,11.4,37.380001068115234,0.0
cat_129.wav,Approved,5.57,39.31999969482422,0.0
cat_13.wav,Quarantined,11.0,26.100000381469727,0.0
cat_130.wav,Approved,1.25,29.5,0.01
cat_131.wav,Approved,1.58,35.34000015258789,0.01
cat_132.wav,Quarantined,15.19,41.2599983215332,0.0
cat_133.wav,Quarantined,1.38,8.640000343322754,0.0
cat_134.wav,Quarantined,1.25,14.449999809265137,0.01
cat_135.wav,Approved,1.2,21.780000686645508,0.05
cat_136.wav,Approved,5.9,69.2300033569336,0.0
cat_137.wav,Approved,1.04,52.150001525878906,0.01
cat_138.wav,Approved,1.24,35.65999984741211,0.01
cat_139.wav,Quarantined,0.94,63.41999816894531,0.01
cat_14.wav,Quarantined,11.62,100.0,0.0
cat_140.wav,Quarantined,0.94,41.959999084472656,0.01
cat_141.wav,Quarantined,0.94,35.88999938964844,0.01
cat_142.wav,Approved,3.96,25.950000762939453,0.0
cat_143.wav,Quarantined,10.11,40.20000076293945,0.0
cat_144.wav,Approved,5.0,100.0,0.0
cat_146.wav,Quarantined,12.0,21.229999542236328,0.0
cat_147.wav,Quarantined,12.0,19.639999389648438,0.0
cat_148.wav,Quarantined,12.0,22.780000686645508,0.0
cat_149.wav,Approved,4.2,21.5,0.0
cat_15.wav,Approved,2.95,100.0,0.0
cat_150.wav,Approved,2.11,22.059999465942383,0.0
cat_151.wav,Approved,3.91,20.450000762939453,0.0
cat_152.wav,Quarantined,11.8,31.920000076293945,0.0
cat_153.wav,Quarantined,12.0,30.670000076293945,0.0
cat_154.wav,Quarantined,10.18,28.100000381469727,0.0
cat_155.wav,Approved,1.94,33.72999954223633,0.0
cat_156.wav,Approved,2.09,28.09000015258789,0.0
cat_157.wav,Quarantined,6.0,5.610000133514404,0.0
cat_158.wav,Approved,1.56,34.7599983215332,0.0
cat_159.wav,Quarantined,12.0,28.899999618530273,0.0
cat_16.wav,Approved,7.01,22.079999923706055,0.02
cat_160.wav,Quarantined,12.0,29.450000762939453,0.0
cat_161.wav,Quarantined,11.9,24.75,0.0
cat_162.wav,Quarantined,12.0,25.889999389648438,0.02
cat_163.wav,Quarantined,12.0,26.239999771118164,0.02
cat_164.wav,Quarantined,10.22,37.529998779296875,0.0
cat_165.wav,Quarantined,11.4,100.0,0.0
cat_166.wav,Quarantined,11.8,100.0,0.0
cat_167.wav,Quarantined,12.0,100.0,0.0
cat_17.wav,Approved,1.53,25.559999465942383,0.01
cat_18.wav,Approved,1.31,27.549999237060547,0.0
cat_19.wav,Approved,1.27,30.440000534057617,0.0
cat_2.wav,Quarantined,12.0,32.36000061035156,0.0
cat_20.wav,Approved,1.76,26.170000076293945,0.0
cat_21.wav,Quarantined,11.8,25.309999465942383,0.0
cat_22.wav,Quarantined,10.3,26.229999542236328,0.0
cat_23.wav,Quarantined,10.5,29.59000015258789,0.0
cat_24.wav,Approved,3.19,19.520000457763672,0.0
cat_25.wav,Quarantined,11.7,25.0,0.0
cat_26.wav,Approved,4.7,25.360000610351562,0.0
cat_27.wav,Approved,2.4,27.729999542236328,0.0
cat_28.wav,Quarantined,12.0,27.059999465942383,0.0
cat_29.wav,Quarantined,12.0,26.530000686645508,0.0
cat_3.wav,Quarantined,11.7,32.290000915527344,0.0
cat_30.wav,Quarantined,12.0,28.280000686645508,0.0
cat_31.wav,Quarantined,13.17,27.139999389648438,0.0
cat_32.wav,Approved,2.53,27.34000015258789,0.0
cat_33.wav,Approved,4.19,36.22999954223633,0.0
cat_34.wav,Approved,8.75,45.02000045776367,0.0
cat_35.wav,Quarantined,11.0,29.809999465942383,0.0
cat_36.wav,Quarantined,12.0,29.149999618530273,0.0
cat_37.wav,Quarantined,12.0,25.530000686645508,0.0
cat_38.wav,Approved,6.43,19.959999084472656,0.0
cat_39.wav,Quarantined,10.8,32.290000915527344,0.0
cat_4.wav,Approved,1.61,35.97999954223633,0.0
cat_40.wav,Quarantined,12.0,32.93000030517578,0.0
